executable_variable_id,ssd_component,source_ssd_connectors,variable_name,engineering_meaning,quantity,unit,datatype,fmi_causality,fmi_variability,simulink_port_type,source_of_semantics,source_of_unit,source_of_causality,confidence,assumption,legacy_contract_ids,structural_connection_ids,binding_rule_ids,resolution_status
EV::L2_3100::in_T_brake,L2_3100,L2_3100.p_3131_rp_06d152ddc255f2eb,in_T_brake,Equivalent friction braking torque.,T_brake,N*m,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0088,CG_DA869E241F8A36DBAAC07E48,BR-PHY-007-FRICTION,RESOLVED
EV::L2_3100::in_T_shaft,L2_3100,L2_3100.p_3121_rp_fdcd27ee9b0a936f,in_T_shaft,Shaft torque effort variable.,T_shaft,N*m,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0061,CG_3CA6C3BF7D7B4F80CF0990D0,BR-PHY-005-SERIES,RESOLVED
EV::L2_3100::out_omega_axle,L2_3100,L2_3100.p_3112_rp_c530418a51140052,out_omega_axle,Host mechanical angular speed sampled by sensor leaf 3641.,omega_axle,rad/s,Float64,output,continuous,Outport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0064,CG_FA31DFA220FEF0D6FAC8EB67,BR-PHY-005-TAP,RESOLVED
EV::L2_3100::out_omega_gearbox,L2_3100,L2_3100.p_3121_rp_6464b6253314b208,out_omega_gearbox,Host mechanical angular speed sampled by sensor leaf 3643.,omega_gearbox,rad/s,Float64,output,continuous,Outport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0063,CG_4CB0735167799FD438F90DD2,BR-PHY-005-TAP,RESOLVED
EV::L2_3100::out_omega_shaft,L2_3100,L2_3100.p_3121_rp_fdcd27ee9b0a936f,out_omega_shaft,Shaft angular-speed feedback variable.,omega_shaft,rad/s,Float64,output,continuous,Outport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0062,CG_3CA6C3BF7D7B4F80CF0990D0,BR-PHY-005-SERIES,RESOLVED
EV::L2_3100::out_omega_wheel,L2_3100,L2_3100.p_3131_rp_06d152ddc255f2eb,out_omega_wheel,Wheel/disc angular speed feedback.,omega_wheel,rad/s,Float64,output,continuous,Outport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0089,CG_DA869E241F8A36DBAAC07E48,BR-PHY-007-FRICTION,RESOLVED
EV::L2_3500::in_T_shaft,L2_3500,L2_3500.p_3511_rp_aa7691c6f81e4771,in_T_shaft,Shaft torque effort variable.,T_shaft,N*m,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0086,CG_338D68ABEF709ACD5E0DDCC6,BR-PHY-005-SERIES,RESOLVED
EV::L2_3500::in_omega_shaft,L2_3500,L2_3500.p_3512_rp_c455741f6ca5a597,in_omega_shaft,Shaft angular-speed feedback variable.,omega_shaft,rad/s,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0062,CG_3CA6C3BF7D7B4F80CF0990D0,BR-PHY-005-SERIES,RESOLVED
EV::L2_3500::out_T_shaft,L2_3500,L2_3500.p_3512_rp_c455741f6ca5a597,out_T_shaft,Shaft torque effort variable.,T_shaft,N*m,Float64,output,continuous,Outport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0061,CG_3CA6C3BF7D7B4F80CF0990D0,BR-PHY-005-SERIES,RESOLVED
EV::L2_3500::out_omega_shaft,L2_3500,L2_3500.p_3511_rp_aa7691c6f81e4771,out_omega_shaft,Shaft angular-speed feedback variable.,omega_shaft,rad/s,Float64,output,continuous,Outport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0087,CG_338D68ABEF709ACD5E0DDCC6,BR-PHY-005-SERIES,RESOLVED
