parameter_id,parameter_name,display_name_cn,category,subcategory,value,unit,component_code,component_name,model_level,source_type,source_file,source_location,block_path_or_variable_name,default_value,override_value,final_runtime_value,override_chain,used_in_final_simulation,confidence,physical_meaning,notes
VEH-001,vehicle_mass_kg,车辆等效质量,Vehicle,Mass,80000,kg,L2_7200,制动控制,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.brake.vehicle_mass_kg,P.brake.vehicle_mass_kg,80000,80000,80000,Params_v2.json -> Params_v2.m -> L2_7200_behavior.m(mass=80000) -> L2_8100_behavior.m(mass=80000) -> runner_v2.py(MASS=80000),YES,medium,Representative single train-unit equivalent mass for longitudinal dynamics,CONFLICT vs SC_v1: SCv1.vehicle.mass=295900 kg (full-train). v2 uses 80000 kg single-unit.
VEH-002,vehicle_type,车辆类型,Vehicle,Type,NOT EXPLICITLY DEFINED,,ALL,全系统,L0,NOT_FOUND,,,,,,NOT EXPLICITLY DEFINED,,NO,MISSING,No explicit vehicle type or model name defined in the project,MISSING: No vehicle type name. See INFERRED_VEHICLE_CLASS in vehicle_profile.
VEH-003,wheel_radius_m,车轮半径,Vehicle,Wheel,0.46,m,L2_3100/L2_7200,轮轴/制动,L2,LITERATURE_TYPICAL,Rail_MBSE_Simulation_Parameters_v2.json,parameters.vehicle.wheel_radius_m,P.vehicle.wheel_radius_m,0.46,0.46,0.46,Params_v2.json -> Params_v2.m -> L2_3100_behavior.m(0.46) -> L2_7200_behavior.m(0.46) -> L2_8100_behavior.m(rw=0.46) -> runner(WHEEL_RADIUS=0.46),YES,medium,Representative rail wheel rolling radius,
VEH-004,equivalent_rotational_inertia_kgm2,等效旋转惯量,Vehicle,Inertia,18000,kg*m^2,L2_3100,轮轴组成,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.vehicle.equivalent_rotational_inertia_kgm2,J=18000 in L2_3100_behavior.m,18000,18000,18000,Params_v2.json -> L2_3100_behavior.m(J=18000),YES,high,Consistent with 80000 kg mass and 0.46 m wheel radius with driveline allowance,
VEH-005,rolling_resistance_torque_Nm,滚动阻力矩,Vehicle,Resistance,1500,N*m,L2_3100,轮轴组成,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.vehicle.rolling_resistance_torque_Nm,T_res base=1500 in L2_3100_behavior.m,1500,1500,1500,Params_v2.json -> L2_3100_behavior.m(T_res=1500+0.8*omega^2),YES,medium,Constant part of resistance torque (Davis A equivalent at wheel),
VEH-006,aero_torque_coefficient,气动阻力系数,Vehicle,Resistance,0.8,N*m/(rad/s)^2,L2_3100,轮轴组成,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.vehicle.aero_torque_coefficient,0.8*omega^2 in L2_3100_behavior.m,0.8,0.8,0.8,Params_v2.json -> L2_3100_behavior.m(0.8*omega_w^2),YES,medium,Quadratic speed-dependent torque (Davis C equivalent at wheel),
DRV-001,gear_ratio,齿轮传动比,Driveline,Gear,6.2,1,L2_3500,牵引传动耦合,L2,LITERATURE_TYPICAL,Rail_MBSE_Simulation_Parameters_v2.json,parameters.driveline.gear_ratio,P.driveline.gear_ratio,6.2,6.2,6.2,Params_v2.json -> L2_8100_behavior.m(gear=6.2) -> runner_v2.py(GEAR=6.2),YES,medium,Representative rail final-drive ratio,
DRV-002,driveline_efficiency,传动效率,Driveline,Efficiency,0.96,1,L2_3500,牵引传动耦合,L2,LITERATURE_TYPICAL,Rail_MBSE_Simulation_Parameters_v2.json,parameters.driveline.efficiency,P.driveline.efficiency,0.96,0.96,0.96,Params_v2.json -> L2_8100_behavior.m(eta=0.96) -> runner_v2.py(DRIVE_ETA=0.97),YES,medium,Averaged gearbox efficiency,"CONFLICT: L2_8100 uses eta=0.96, runner_v2.py uses DRIVE_ETA=0.97"
MOT-001,motor_pole_pairs,电机极对数,Motor,Electric,3,1,L2_5300,牵引电机,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.motor.pole_pairs,P.motor.pole_pairs,3,3,3,Params_v2.json -> L2_5300_behavior.m(wsync=2*pi*f/3),YES,medium,PMSM pole pairs,
MOT-002,motor_torque_limit_Nm,电机扭矩限制,Motor,Torque,6000,N*m,L2_5300,牵引电机,L2,SOURCE_MODEL,Rail_MBSE_Simulation_Parameters_v2.json,parameters.motor.torque_limit_Nm,"max(-6000,min(6000,...)) in L2_5300_behavior.m",6000,6000,6000,Params_v2.json -> L2_5300_behavior.m -> L2_5100_behavior.m(Treq limit 6000) -> L2_8100_behavior.m(6000),YES,medium,Scale retained from v1 PMSM-oriented implementation,
