binding_id,ssd_component_id,ssd_component_name,l2_code,l2_name,ssd_connector_name,ssd_connector_id,direction,data_type,unit,quantity,item_type,item_code,item_name,item_name_en,item_unit_or_medium,interface_type,original_sysml_path,original_product_code,original_product_name,original_port_name,original_port_id,source_connection_ids,simulink_model,simulink_port_name,simulink_port_type,future_fmu_file,future_fmu_variable,future_fmu_causality,future_fmu_variability,alias_reason,legacy_match,legacy_conflict_fields,review_flags,binding_status,notes
BIND::L2_3100::p_3112_rp_c530418a51140052,L2_3100,L2_3100,3100,轮轴组成,p_3112_rp_c530418a51140052,L2_3100.p_3112_rp_c530418a51140052,input,Real,[-],RotationalMechanicalEnergy,PhysicalConnector,ITM-PHY-005,旋转机械能,RotationalMechanicalEnergy,旋转机械,IF_IF_PHY_005,p_N_3000.p_N_3100.p_N_3110.p_N_3112.rp_c530418a51140052,3112,车轴,轮对段旋转机械能端口,PORT::3112::轮对段旋转机械能端口::ITM-PHY-005::双向物理,CG_FA31DFA220FEF0D6FAC8EB67,L2_3100.slx,p_3112_rp_c530418a51140052,Inport,L2_3100.fmu,p_3112_rp_c530418a51140052,input,continuous,,NOT_FOUND,,SEMANTIC_REVIEW_REQUIRED,SEMANTIC_REVIEW_REQUIRED,Full SysML item datatype PhysicalConnector requires implementation interpretation against SSD Real | SSD unit [-] does not encode Full SysML unit/medium 旋转机械
BIND::L2_3100::p_3121_rp_6464b6253314b208,L2_3100,L2_3100,3100,轮轴组成,p_3121_rp_6464b6253314b208,L2_3100.p_3121_rp_6464b6253314b208,input,Real,[-],RotationalMechanicalEnergy,PhysicalConnector,ITM-PHY-005,旋转机械能,RotationalMechanicalEnergy,旋转机械,IF_IF_PHY_005,p_N_3000.p_N_3100.p_N_3120.p_N_3121.rp_6464b6253314b208,3121,齿轮箱主体,低速轴旋转机械能端口,PORT::3121::低速轴旋转机械能端口::ITM-PHY-005::双向物理,CG_4CB0735167799FD438F90DD2,L2_3100.slx,p_3121_rp_6464b6253314b208,Inport,L2_3100.fmu,p_3121_rp_6464b6253314b208,input,continuous,,NOT_FOUND,,SEMANTIC_REVIEW_REQUIRED,SEMANTIC_REVIEW_REQUIRED,Full SysML item datatype PhysicalConnector requires implementation interpretation against SSD Real | SSD unit [-] does not encode Full SysML unit/medium 旋转机械
BIND::L2_3100::p_3121_rp_fdcd27ee9b0a936f,L2_3100,L2_3100,3100,轮轴组成,p_3121_rp_fdcd27ee9b0a936f,L2_3100.p_3121_rp_fdcd27ee9b0a936f,input,Real,[-],RotationalMechanicalEnergy,PhysicalConnector,ITM-PHY-005,旋转机械能,RotationalMechanicalEnergy,旋转机械,IF_IF_PHY_005,p_N_3000.p_N_3100.p_N_3120.p_N_3121.rp_fdcd27ee9b0a936f,3121,齿轮箱主体,高速轴旋转机械能端口,PORT::3121::高速轴旋转机械能端口::ITM-PHY-005::双向物理,CG_3CA6C3BF7D7B4F80CF0990D0,L2_3100.slx,p_3121_rp_fdcd27ee9b0a936f,Inport,L2_3100.fmu,p_3121_rp_fdcd27ee9b0a936f,input,continuous,,CONFLICT,unit,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: unit. SSD values were retained. | Full SysML item datatype PhysicalConnector requires implementation interpretation against SSD Real | SSD unit [-] does not encode Full SysML unit/medium 旋转机械
BIND::L2_3100::p_3131_rp_06d152ddc255f2eb,L2_3100,L2_3100,3100,轮轴组成,p_3131_rp_06d152ddc255f2eb,L2_3100.p_3131_rp_06d152ddc255f2eb,input,Real,[-],FrictionBrakeMechanicalInteraction,PhysicalConnector,ITM-PHY-007,摩擦制动机械作用,FrictionBrakeMechanicalInteraction,摩擦机械,IF_IF_PHY_007,p_N_3000.p_N_3100.p_N_3130.p_N_3131.rp_06d152ddc255f2eb,3131,外轮盘,摩擦制动机械作用端口,PORT::3131::摩擦制动机械作用端口::ITM-PHY-007::双向物理,CG_DA869E241F8A36DBAAC07E48,L2_3100.slx,p_3131_rp_06d152ddc255f2eb,Inport,L2_3100.fmu,p_3131_rp_06d152ddc255f2eb,input,continuous,,CONFLICT,unit,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: unit. SSD values were retained. | Full SysML item datatype PhysicalConnector requires implementation interpretation against SSD Real | SSD unit [-] does not encode Full SysML unit/medium 摩擦机械
BIND::L2_3500::p_3511_rp_aa7691c6f81e4771,L2_3500,L2_3500,3500,牵引传动耦合组件及其附件,p_3511_rp_aa7691c6f81e4771,L2_3500.p_3511_rp_aa7691c6f81e4771,input,Real,[-],RotationalMechanicalEnergy,PhysicalConnector,ITM-PHY-005,旋转机械能,RotationalMechanicalEnergy,旋转机械,IF_IF_PHY_005,p_N_3000.p_N_3500.p_N_3510.p_N_3511.rp_aa7691c6f81e4771,3511,联轴节(电机侧),第一连接面旋转机械能端口,PORT::3511::第一连接面旋转机械能端口::ITM-PHY-005::双向物理,CG_338D68ABEF709ACD5E0DDCC6,L2_3500.slx,p_3511_rp_aa7691c6f81e4771,Inport,L2_3500.fmu,p_3511_rp_aa7691c6f81e4771,input,continuous,,CONFLICT,unit,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: unit. SSD values were retained. | Full SysML item datatype PhysicalConnector requires implementation interpretation against SSD Real | SSD unit [-] does not encode Full SysML unit/medium 旋转机械
BIND::L2_3500::p_3512_rp_c455741f6ca5a597,L2_3500,L2_3500,3500,牵引传动耦合组件及其附件,p_3512_rp_c455741f6ca5a597,L2_3500.p_3512_rp_c455741f6ca5a597,output,Real,[-],RotationalMechanicalEnergy,PhysicalConnector,ITM-PHY-005,旋转机械能,RotationalMechanicalEnergy,旋转机械,IF_IF_PHY_005,p_N_3000.p_N_3500.p_N_3510.p_N_3512.rp_c455741f6ca5a597,3512,联轴节(齿轮箱侧),第二连接面旋转机械能端口,PORT::3512::第二连接面旋转机械能端口::ITM-PHY-005::双向物理,CG_3CA6C3BF7D7B4F80CF0990D0,L2_3500.slx,p_3512_rp_c455741f6ca5a597,Outport,L2_3500.fmu,p_3512_rp_c455741f6ca5a597,output,continuous,,CONFLICT,unit,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: unit. SSD values were retained. | Full SysML item datatype PhysicalConnector requires implementation interpretation against SSD Real | SSD unit [-] does not encode Full SysML unit/medium 旋转机械
BIND::L2_3600::p_3641_rp_4ddc6037e5eea6fc,L2_3600,L2_3600,3600,转向架相关检测,p_3641_rp_4ddc6037e5eea6fc,L2_3600.p_3641_rp_4ddc6037e5eea6fc,output,Real,[-],RotationalMechanicalEnergy,PhysicalConnector,ITM-PHY-005,旋转机械能,RotationalMechanicalEnergy,旋转机械,IF_IF_PHY_005,p_N_3000.p_N_3600.p_N_3640.p_N_3641.rp_4ddc6037e5eea6fc,3641,轴端速度传感器,旋转机械能端口,PORT::3641::旋转机械能端口::ITM-PHY-005::双向物理,CG_FA31DFA220FEF0D6FAC8EB67,L2_3600.slx,p_3641_rp_4ddc6037e5eea6fc,Outport,L2_3600.fmu,p_3641_rp_4ddc6037e5eea6fc,output,continuous,,NOT_FOUND,,SEMANTIC_REVIEW_REQUIRED,SEMANTIC_REVIEW_REQUIRED,Full SysML item datatype PhysicalConnector requires implementation interpretation against SSD Real | SSD unit [-] does not encode Full SysML unit/medium 旋转机械
BIND::L2_3600::p_3643_rp_48ddc723a7d58137,L2_3600,L2_3600,3600,转向架相关检测,p_3643_rp_48ddc723a7d58137,L2_3600.p_3643_rp_48ddc723a7d58137,output,Real,[-],RotationalMechanicalEnergy,PhysicalConnector,ITM-PHY-005,旋转机械能,RotationalMechanicalEnergy,旋转机械,IF_IF_PHY_005,p_N_3000.p_N_3600.p_N_3640.p_N_3643.rp_48ddc723a7d58137,3643,齿轮箱速度传感器,旋转机械能端口,PORT::3643::旋转机械能端口::ITM-PHY-005::双向物理,CG_4CB0735167799FD438F90DD2,L2_3600.slx,p_3643_rp_48ddc723a7d58137,Outport,L2_3600.fmu,p_3643_rp_48ddc723a7d58137,output,continuous,,NOT_FOUND,,SEMANTIC_REVIEW_REQUIRED,SEMANTIC_REVIEW_REQUIRED,Full SysML item datatype PhysicalConnector requires implementation interpretation against SSD Real | SSD unit [-] does not encode Full SysML unit/medium 旋转机械
BIND::L2_3600::p_3644_rp_08c271db56ce8427,L2_3600,L2_3600,3600,转向架相关检测,p_3644_rp_08c271db56ce8427,L2_3600.p_3644_rp_08c271db56ce8427,output,Real,[-],MotorSpeed,Real,ITM-MEA-004,牵引电机转速,MotorSpeed,rad/s,IF_IF_MEA_004,p_N_3000.p_N_3600.p_N_3640.p_N_3644.rp_08c271db56ce8427,3644,牵引电机速度传感器,牵引电机转速输出,PORT::3644::牵引电机转速输出::ITM-MEA-004::输出,CG_89DF67BFD358C3EEF4DB05F2,L2_3600.slx,p_3644_rp_08c271db56ce8427,Outport,L2_3600.fmu,p_3644_rp_08c271db56ce8427,output,continuous,,CONFLICT,unit,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: unit. SSD values were retained. | SSD unit [-] does not encode Full SysML unit/medium rad/s
BIND::L2_3600::p_3644_rp_af1c1b2c65382775,L2_3600,L2_3600,3600,转向架相关检测,p_3644_rp_af1c1b2c65382775,L2_3600.p_3644_rp_af1c1b2c65382775,output,Real,[-],RotationalMechanicalEnergy,PhysicalConnector,ITM-PHY-005,旋转机械能,RotationalMechanicalEnergy,旋转机械,IF_IF_PHY_005,p_N_3000.p_N_3600.p_N_3640.p_N_3644.rp_af1c1b2c65382775,3644,牵引电机速度传感器,旋转机械能端口,PORT::3644::旋转机械能端口::ITM-PHY-005::双向物理,CG_07AF42BFA3927EF22F7BDDE7,L2_3600.slx,p_3644_rp_af1c1b2c65382775,Outport,L2_3600.fmu,p_3644_rp_af1c1b2c65382775,output,continuous,,NOT_FOUND,,SEMANTIC_REVIEW_REQUIRED,SEMANTIC_REVIEW_REQUIRED,Full SysML item datatype PhysicalConnector requires implementation interpretation against SSD Real | SSD unit [-] does not encode Full SysML unit/medium 旋转机械
